code,year,stknme,FS_Combas-A001101000,FS_Combas-A001000000,FS_Combas-A002101000,FS_Combas-A002100000,FS_Combas-A002201000,FS_Combas-A002200000,FS_Combas-A002000000,FS_Combas-A003000000
000584,2000,*ST 工智,33595352.12,675846515.53,275212690.0,387303711.18,0.0,0.0,387303711.18,288542804.35
000585,2000,东电退,399011393.68,4454892243.88,1372664231.71,2744787170.34,565013934.18,565729005.98,3310516176.32,1144376067.56
000586,2000,汇源通信,228454202.64,502950867.44,83070000.0,185688559.59,7000000.0,7000000.0,192688559.59,310262307.85
000587,2000,*ST 金洲,38127478.57,697103641.65,148900000.0,220149027.45,14800000.0,14800000.0,234949027.45,462154614.2
000588,2000,PT 粤金曼,3434706.18,570816349.62,1047688050.0,1495218553.35,0.0,2087150.76,1497305704.11,-926489354.49
000589,2000,贵州轮胎,185117849.0,2366327311.0,359210796.0,913883549.0,527663801.0,580921501.0,1494805050.0,871522261.0
000590,2000,启迪药业,47026118.58,636255452.21,60415050.0,220687487.2,35550000.0,35550000.0,256237487.2,380017965.01
000591,2000,太阳能,49013794.35,490044162.81,87210000.0,208556324.19,0.0,33138529.53,241694853.72,248349309.09
000592,2000,平潭发展,20178175.78,899419817.41,382011974.39,559100306.59,22000000.0,29847501.79,588947808.38,310472009.03
000593,2000,德龙汇能,70818366.77,543620343.81,64770000.0,226784114.16,20000000.0,20198588.39,246982702.55,296637641.26
000594,2000,国恒退,5195163.27,911801893.19,11400000.0,210683720.96,2360000.0,18498542.99,229182263.95,682619629.24
000595,2000,*ST 宝实,9228983.38,1115521640.76,212780000.0,668905574.65,7000000.0,10465384.36,679370959.01,436150681.75
000596,2000,古井贡酒,101347908.33,1588019484.31,0.0,441650430.35,0.0,2482818.69,444133249.04,1143886235.27
000597,2000,东北制药,213943206.2,2669196371.57,829384516.34,1680535677.58,51668438.5,83131853.31,1763667530.89,905528840.68
000598,2000,兴蓉环境,123933420.75,709561351.38,28500000.0,125080993.22,0.0,0.0,125080993.22,584480358.16
000599,2000,青岛双星,79785559.84,950432515.17,8800000.0,480725161.14,0.0,0.0,480725161.14,469707354.03
000600,2000,建投能源,10262809.75,668243546.46,200630000.0,324218144.0,28500000.0,28500000.0,352718144.0,315525402.46
000601,2000,韶能股份,558778664.11,2567567186.64,14650000.0,419323469.53,278334556.75,289159566.45,708483035.98,1859084150.66
000602,2000,金马集团,1693684.81,324764749.5,12892000.0,198063670.71,3500000.0,10151877.23,208215547.94,116549201.56
000603,2000,盛达资源,1744972.0,259167567.6,80950000.0,128012701.15,0.0,200000.0,128212701.15,130954866.45
000605,2000,渤海股份,354577.35,300938851.68,49280000.0,186554831.95,10000000.0,12345776.47,198900608.42,102038243.26
000606,2000,顺利退,31529777.36,356184380.83,47810000.0,84696952.72,2000000.0,2000000.0,86696952.72,269487428.11
000607,2000,华媒控股,82931349.41,978774412.13,163240000.0,478323378.8,26643890.0,26643890.0,504967268.8,473807143.33
000608,2000,*ST 阳光,192963852.21,1190580872.18,43000000.0,648571010.5,0.0,0.0,648571010.5,542009861.68
000609,2000,*ST 中迪,118927417.57,470768268.01,2450000.0,57381492.44,0.0,0.0,57381492.44,413386775.57
000610,2000,西安旅游,176338647.51,440969019.93,300000.0,51027358.12,30000000.0,30000000.0,81027358.12,359941661.81
000611,2000,天首退,33172556.08,607418765.3,13000000.0,160821215.35,108580800.0,128639475.0,289460690.35,317958074.95
000612,2000,焦作万方,317044751.51,1582999582.32,492176120.0,636775027.09,342177640.0,366277640.0,1003052667.09,579946915.23
000613,2000,东海A退,896854.47,325803244.62,80750627.06,201834285.83,20000000.0,20000000.0,221834285.83,103968958.79
