code,year,stknme,AnaAttention,Audittyp,InternationalBig4,Ysmvosd,Ysmvttl,Yretwd,PropertyRightsNature,Seperation,ActualControllerNatureID,OwnershipProportion,ControlProportion,Shrcr1,Shrhfd5,Shrz,FundHoldProportion,QFIIHoldProportion,BrokerHoldProportion,BankHoldProportion,NonFinanceHoldProportion,InsInvestorProp,StaffNumber,ConcurrentPosition,Boardsize2,ExecutivesNumber,IndDirector,SumSalary,TOP3SumSalary,Ynshrtrd,DirectorHoldshares,ManageHoldshares
1.0,2020,平安银行,3.7612,标准无保留意见,1.0,375307291.55,375310457.95,0.195293,0.0,3.3002,1230,4.5498,7.85,49.565,0.260038,5.051,6.248,,2.21,,,78.228,38097.0,0.0,15.0,6.0,5.0,32726200.0,12667500.0,27611277462,10104.0,10104.0
1.0,2021,平安银行,3.806662,标准无保留意见,1.0,319806833.75,319809531.9,-0.141304,0.0,2.8588,1230,3.9412,6.8,49.565,0.258495,5.5121,6.684,,2.47,,,76.704,40651.0,0.0,14.0,6.0,5.0,31589000.0,11571800.0,23980246570,206804.0,210104.0
1.0,2022,平安银行,3.637586,标准无保留意见,1.0,255376997.86,255381883.49,-0.187244,0.0,2.7411,1230,3.7789,6.52,49.565,0.254528,7.723,5.8309,,2.46,,,73.5909,44207.0,0.0,13.0,6.0,2.0,23667100.0,10509900.0,27748207715,206804.0,210104.0
1.0,2023,平安银行,3.583519,标准无保留意见,1.0,182218085.86,182221571.88,-0.268745,0.0,0.0414,1230,57.9586,58.0,49.565,0.251863,8.1094,2.5456,,2.21,,,67.1256,43119.0,0.0,11.0,5.0,4.0,18724100.0,8357500.0,22139280532,102700.0,106000.0
2.0,2000,万科A,,标准无保留意见,2.0,5577979.16,7123943.1,0.555746,,,,,,,,,4.6746,,,,,4.6746,6616.0,0.0,18.0,8.0,2.0,,,1773655920,539926.0,163505.0
2.0,2001,万科A,,标准无保留意见,1.0,5322803.56,6798044.35,-0.033811,,,,,,,,,6.4743,,,,,6.4743,5349.0,0.0,13.0,8.0,1.0,,,927984251,250761.0,115313.0
2.0,2002,万科A,1.098612,标准无保留意见,1.0,3847596.36,4913968.92,-0.265477,,,,,,,,,6.1735,,,,,6.1735,6055.0,0.0,11.0,9.0,4.0,150000.0,90000.0,412787427,202569.0,79169.0
2.0,2003,万科A,1.791759,标准无保留意见,1.0,6090893.73,7536298.18,0.375402,1.0,,1100,,,11.1868,0.013636,4.5729,10.5299,,,,,28.5069,7025.0,0.0,11.0,7.0,4.0,180000.0,90000.0,1551624667,485138.0,160238.0
2.0,2004,万科A,2.079442,标准无保留意见,1.0,8294218.79,10037986.56,0.214562,1.0,,1100,,,12.8906,0.01828,5.722,30.2988,,,,,48.1788,9627.0,0.0,11.0,8.0,4.0,150000.0,90000.0,3032353781,827707.0,116742.0
2.0,2005,万科A,2.639057,标准无保留意见,1.0,11520379.73,13674033.12,0.267021,1.0,0.0,1100,15.37,15.37,11.8094,0.01511,5.722,28.836,2.44,,,,47.676,10961.0,0.0,11.0,8.0,4.0,205000.0,0.0,5462348270,1091561.0,175113.0
2.0,2006,万科A,2.890372,标准无保留意见,1.0,50245691.29,59011689.87,2.671332,1.0,0.0026,1100,16.2974,16.3,14.5428,0.022445,5.7398,29.3845,1.15,,,,51.5455,13402.0,0.0,11.0,9.0,4.0,14290000.0,10290000.0,11838474440,1091561.0,175113.0
2.0,2007,万科A,2.995732,标准无保留意见,1.0,169678004.14,174486591.88,1.832039,1.0,0.0024,1100,14.9376,14.94,14.6345,0.021906,12.1857,33.6181,,0.86,,,52.5281,16464.0,0.0,11.0,9.0,4.0,47400000.0,17040000.0,20273873091,1703599.0,277116.0
2.0,2008,万科A,3.912023,标准无保留意见,1.0,60566903.86,62437643.14,-0.640054,1.0,0.0023,2100,14.7277,14.73,14.7255,0.022056,12.1017,23.0476,0.71,,,,40.9876,16515.0,0.0,11.0,9.0,4.0,18632000.0,6037000.0,27530630602,13062531.0,16271861.0
2.0,2009,万科A,4.174387,标准无保留意见,1.0,104382385.98,104643553.85,0.68349,1.0,0.0023,2100,14.7277,14.73,14.7255,0.022258,8.7936,13.197,,,,,31.147,17616.0,0.0,10.0,10.0,3.0,45319000.0,14507000.0,44617852058,13062531.0,16271861.0
2.0,2010,万科A,4.143135,标准无保留意见,1.0,79412515.57,79571694.05,-0.232341,1.0,0.0233,2100,14.7067,14.73,14.7255,0.022114,12.1017,19.6916,,,,,37.4916,22850.0,0.0,11.0,10.0,4.0,53030000.0,18600000.0,22361589121,13062531.0,16271861.0
2.0,2011,万科A,4.077537,标准无保留意见,1.0,72149580.1,72311502.98,-0.079738,1.0,0.0,2100,14.73,14.73,14.7255,0.022248,12.0206,20.924,0.68,,,,38.964,27951.0,0.0,11.0,11.0,4.0,110540000.0,36600000.0,14259465551,13062531.0,14743782.0
2.0,2012,万科A,4.060443,标准无保留意见,1.0,97779804.62,97964178.07,0.373709,1.0,0.0,2100,14.72,14.72,14.725,0.022228,11.6161,27.8739,1.53,,,,46.2739,31019.0,0.0,11.0,10.0,4.0,105700000.0,38030000.0,13548338656,13062531.0,14007970.0
2.0,2013,万科A,3.988984,标准无保留意见,1.0,77699767.08,77891108.01,-0.194315,1.0,0.0,2100,14.7,14.7,14.699,0.022026,12.1017,18.163,0.74,,,,36.233,35330.0,0.0,11.0,10.0,4.0,111370000.0,39810000.0,20812392740,16562531.0,21423170.0
2.0,2014,万科A,3.663562,标准无保留意见,1.0,134922814.4,135143469.66,0.827567,1.0,0.0,2100,14.97,14.97,14.9082,0.038131,1.2514,13.146,3.05,3.3,,,49.166,40647.0,0.0,11.0,11.0,4.0,80381000.0,26461000.0,25803916153,17366214.0,11879620.0
2.0,2015,万科A,3.688879,标准无保留意见,1.0,237274532.9,237650437.29,0.818117,1.0,0.0,2100,15.29,15.29,15.2264,0.047074,1.2797,4.8896,,7.13,,,58.2096,42295.0,0.0,11.0,5.0,4.0,52953000.0,27051000.0,55976109993,17756914.0,11484575.0
2.0,2016,万科A,3.295837,标准无保留意见,1.0,199501614.45,199832238.75,-0.123486,1.0,0.0,2100,15.3,15.3,15.2436,0.04845,1.2797,1.2376,,6.39,,,58.6376,58280.0,0.0,11.0,5.0,4.0,62125000.0,28763000.0,17826139974,17627120.0,10524575.0
2.0,2017,万科A,3.7612,标准无保留意见,1.0,301566668.16,302033544.31,0.562549,1.0,0.0,2120,29.38,29.38,29.3755,0.110235,2.4662,5.3333,,4.14,,,71.8233,77708.0,1.0,11.0,5.0,4.0,56803000.0,29978000.0,10232393497,10524575.0,10524575.0
2.0,2018,万科A,3.828641,标准无保留意见,1.0,231415350.42,231630361.42,-0.202852,1.0,0.0,2120,29.38,29.38,29.3755,0.113248,2.4662,6.6888,,4.14,,,78.3888,104300.0,0.0,11.0,5.0,4.0,74774000.0,33853000.0,11979561967,10524575.0,3218330.0
