code,listing_year,industry
002631,2011,C
002632,2011,C
002633,2011,C
002634,2011,C
002635,2011,G
002636,2011,C
002637,2011,C
002638,2011,C
002639,2011,C
002640,2011,H
002641,2011,C
002642,2011,G
002643,2011,C
002644,2011,C
002645,2011,C
002646,2011,C
002647,2011,C
002648,2011,C
002649,2012,G
002650,2012,C
002651,2012,C
002652,2012,C
002653,2012,C
002654,2012,C
002655,2012,C
002656,2012,C
002657,2012,I
002658,2012,C
002659,2012,E
002660,2012,C
002661,2012,C
002662,2012,C
002663,2012,E
002664,2012,C
002665,2012,C
002666,2012,C
002667,2012,C
002668,2012,C
002669,2012,C
002670,2012,C
002671,2012,C
002672,2003,N
002673,2012,J
002674,2012,C
002675,2012,C
002676,2012,C
002677,2012,C
002678,2012,C
002679,2012,A
002680,2012,C
002681,2012,C
002682,2012,G
002683,2012,B
002684,2012,C
002685,2012,C
002686,2012,C
002687,2012,C
002688,2012,C
002689,2012,C
002690,2012,C
002691,2012,C
002692,2012,C
002693,2012,C
002694,2012,C
002695,2012,C
002696,2012,A
002697,2012,F
002698,2012,C
002699,2012,R
002700,2012,D
002701,2012,C
002702,2012,C
002703,2006,C
002705,2014,C
002706,2014,C
002707,2014,L
002708,2014,C
002709,2014,C
002711,2014,G
002712,2014,L
002713,2014,E
002714,2014,A
002715,2014,C
002716,2014,C
002717,2014,E
002718,2014,C
002719,2014,C
002721,2014,C
002722,2014,C
002723,2014,C
002724,2014,C
002725,2014,C
002726,2014,C
002727,2014,F
002728,2014,C
002729,2014,C
002730,2014,C
002731,2014,C
002732,2014,C
002733,2014,C
002734,2015,C
002735,2014,C
002736,2014,J
002737,2014,C
002738,2014,M
002739,2015,R
002740,2015,C
002741,2015,C
002742,2015,C
002743,2015,C
002745,2015,C
002746,2015,A
002747,2015,C
002748,2015,C
002749,2015,C
002750,2015,C
002751,2015,C
002752,2015,C
002753,2015,C
002755,2015,E
002756,2015,C
002757,2015,C
002758,2015,F
002759,2015,C
002760,2015,C
002761,2015,C
002762,2015,C
002763,2015,C
002765,2015,C
002766,2015,C
002767,2015,C
002768,2015,C
002769,2015,L
002770,2015,C
002771,2015,I
002772,2015,A
002773,2015,C
002774,2017,C
002775,2015,E
002776,2015,M
002777,2015,I
002778,2016,C
002779,2015,C
002780,2015,F
002781,2015,E
002782,2015,C
002783,2015,C
002785,2015,C
002786,2015,C
002787,2015,C
002788,2016,F
002789,2016,E
002790,2016,C
002791,2016,C
