province,year,gdp,gdp_growth
江苏,2023,130924.3,5.105881144020508
江苏,2024,136696.9,4.409112746831556
江西,2011,11717.4,
江西,2012,12952.8,10.54329458753649
江西,2013,14473.4,11.739546661725653
江西,2014,15858.6,9.5706606602457
江西,2015,17031.1,7.3934647446811
江西,2016,18761.2,10.158474790236705
江西,2017,20497.6,9.255271517813357
江西,2018,23016.9,12.290707204745942
江西,2019,24724.0,7.416724233063521
江西,2020,25825.4,4.454780779809098
江西,2021,29838.2,15.538191083197162
江西,2022,31568.1,5.797601732007962
江西,2023,32677.1,3.51304006259483
江西,2024,34227.9,4.745831178409343
河北,2011,21711.7,
河北,2012,23437.3,7.9477885195539555
河北,2013,24659.1,5.213057818093381
河北,2014,25644.1,3.994468573467813
河北,2015,26744.1,4.289485690665695
河北,2016,28879.7,7.985312648397236
河北,2017,31065.5,7.568638178374432
河北,2018,32947.0,6.056557917947569
河北,2019,35623.5,8.12365313989134
河北,2020,36821.5,3.36294861538029
河北,2021,41205.4,11.905815895604466
河北,2022,43198.3,4.8365020118722235
河北,2023,45660.0,5.698603880245279
河北,2024,47448.1,3.916119141480512
河南,2011,26212.2,
河南,2012,28878.5,10.17198098595311
河南,2013,31621.4,9.498069498069505
河南,2014,34611.2,9.454989342660337
河南,2015,36798.2,6.318763868343202
河南,2016,40167.7,9.156697881961628
河南,2017,44586.5,11.000878815565752
河南,2018,50273.5,12.75498188913684
河南,2019,53739.3,6.893890419405846
河南,2020,54160.6,0.7839700182175724
河南,2021,57806.9,6.7323847963279615
河南,2022,58807.4,1.730762244645545
河南,2023,60627.7,3.0953587473685262
河南,2024,63557.1,4.831784811233142
浙江,2011,32353.1,
浙江,2012,34978.5,8.114832890820356
浙江,2013,38023.3,8.704775790842945
浙江,2014,40744.1,7.155612479716367
浙江,2015,44222.0,8.535959807677674
浙江,2016,48095.8,8.759893265795316
浙江,2017,53135.2,10.47783798169486
浙江,2018,59311.7,11.624121109923369
浙江,2019,64632.0,8.970068300183609
浙江,2020,67164.5,3.9183376655526736
浙江,2021,76765.3,14.294456148709521
浙江,2022,80770.0,5.2168101993999905
浙江,2023,85619.6,6.004209483719203
浙江,2024,90007.0,5.124293970072258
海南,2011,2525.1,
海南,2012,2863.6,13.405409686745084
海南,2013,3201.9,11.813800810169027
海南,2014,3541.2,10.596833130328864
海南,2015,3782.7,6.819722128092165
海南,2016,4151.0,9.736431649351008
海南,2017,4552.9,9.682004336304505
海南,2018,5004.2,9.912363548507553
海南,2019,5442.1,8.75064945445827
海南,2020,5640.8,3.6511640726925254
海南,2021,6508.9,15.38966104098709
海南,2022,6912.8,6.205349598242416
海南,2023,7590.2,9.799213054044674
海南,2024,7972.7,5.03939290137283
湖北,2011,20228.3,
湖北,2012,22921.0,13.311548671910156
湖北,2013,25851.7,12.786091357270625
湖北,2014,28805.9,11.427488327653501
湖北,2015,30661.6,6.44208304548719
湖北,2016,33767.6,10.129934510919192
湖北,2017,37624.2,11.421007119250405
湖北,2018,42425.5,12.761201567076519
湖北,2019,45557.0,7.381174058054718
湖北,2020,43017.6,-5.5741159426652365
湖北,2021,50093.3,16.448383917280385
湖北,2022,53445.4,6.691713263051136
湖北,2023,56794.3,6.2660210233247415
湖北,2024,59644.3,5.018109211663857
湖南,2011,19176.4,
湖南,2012,21513.7,12.188419098475212
湖南,2013,23916.3,11.167767515583083
湖南,2014,26309.1,10.004892061062964
湖南,2015,28811.7,9.51229802615825
湖南,2016,31225.0,8.376111093757043
湖南,2017,34127.7,9.296076861489189
湖南,2018,36629.3,7.330116005473575
湖南,2019,39930.7,9.013003251495366
湖南,2020,41693.7,4.415149246068806
湖南,2021,45751.9,9.733364992792692
湖南,2022,47957.9,4.821657679790348
湖南,2023,50667.5,5.64995548178715
湖南,2024,53084.7,4.770711008042627
甘肃,2011,4880.7,
甘肃,2012,5469.1,12.05564775544492
甘肃,2013,6108.3,11.687480572671927
甘肃,2014,6629.4,8.531015176071888
甘肃,2015,6793.4,2.4738287024466787
甘肃,2016,7207.1,6.089734153737458
甘肃,2017,7642.6,6.042652384454228
甘肃,2018,8364.7,9.44835527176615
甘肃,2019,9053.3,8.232213946704592
甘肃,2020,9323.1,2.9801287928158837
甘肃,2021,10608.0,13.781896579463915
甘肃,2022,11553.6,8.91402714932128
甘肃,2023,12345.7,6.8558717629137345
甘肃,2024,13020.5,5.465870708019782
